Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
France,63,K17_rcp45_2100,0.42,0.69,1.1,1.1,1.3,1.8,0.35,0.47,0.69,0.66,0.79,1.1,0.31,0.42,0.63,0.58,0.74,0.98,0.16,0.26,0.49,0.48,0.62,0.85
France,63,K17_rcp85_2050,0.32,0.39,0.50,0.93,1.00,1.2,0.28,0.33,0.38,0.59,0.64,0.70,0.25,0.29,0.35,0.49,0.55,0.63,0.10,0.14,0.20,0.39,0.45,0.52
France,63,K17_rcp85_2100,0.61,1.00,1.8,1.3,1.7,2.3,0.44,0.63,1.00,0.76,0.98,1.4,0.39,0.57,0.93,0.70,0.92,1.3,0.24,0.44,0.79,0.59,0.79,1.1
French Guiana,0.17,Present day,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--
French Guiana,0.17,K14_rcp26_2050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
French Guiana,0.17,K14_rcp26_2100,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01
French Guiana,0.17,K14_rcp45_2050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
French Guiana,0.17,K14_rcp45_2100,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01
French Guiana,0.17,K14_rcp85_2050,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
French Guiana,0.17,K14_rcp85_2100,0.00,0.00,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.01,0.01,0.01
